age,sex,soc,edu,Reg,inc,colas,restrntEve,juice,cigs,antique,news,enders,friends,simpsons,football
28,2,1,8,7,19,1,1,0,0,0,1,0,1,0,0
39,1,3,6,3,16,1,1,1,0,0,1,1,1,1,0
27,1,3,7,9,14,1,1,1,1,1,1,1,0,0,1
72,2,1,8,7,18,0,0,0,0,1,0,1,0,0,0
35,1,5,3,1,13,1,1,1,1,0,1,0,0,0,0
48,1,3,9,4,19,1,1,1,0,0,0,0,0,0,0
56,2,3,3,9,13,1,1,1,0,0,1,1,0,0,0
37,1,3,3,11,12,1,1,1,0,0,0,0,0,0,0
34,2,3,5,2,13,0,0,1,0,0,0,1,0,0,0
54,2,6,3,2,4,1,1,0,0,0,0,1,0,0,0
28,2,4,2,3,9,1,0,1,1,1,1,1,1,0,0
46,1,6,3,9,9,1,0,1,0,0,1,0,0,0,0
36,2,3,9,1,18,1,1,1,0,0,1,1,0,0,0
35,1,2,3,5,17,1,1,1,0,0,0,0,1,1,0
32,2,2,8,11,13,0,1,1,0,0,0,0,0,0,0
41,1,4,2,9,10,1,1,1,0,0,1,0,0,0,0
35,1,3,8,7,18,1,1,1,0,0,1,0,0,1,0
53,2,5,2,9,12,0,1,1,1,0,0,0,0,0,0
27,1,4,3,3,10,1,1,1,0,0,0,0,1,0,1
61,2,3,3,2,12,1,1,1,0,0,0,0,0,0,0
59,2,5,4,7,14,0,1,1,0,1,0,0,0,0,0
23,1,5,3,3,16,1,0,1,0,0,0,1,1,1,0
75,1,5,1,10,12,1,1,1,0,1,1,1,0,0,0
48,2,2,8,5,19,0,1,1,0,0,0,0,0,0,0
57,1,3,2,10,14,0,1,1,0,1,1,0,0,0,0
78,2,4,4,7,4,0,1,1,0,1,1,1,0,0,1
20,2,4,4,5,15,1,0,1,1,0,0,1,1,1,1
52,1,3,6,4,18,1,0,1,0,1,1,0,0,0,1
26,1,2,8,7,19,1,1,1,0,0,0,0,0,0,0
52,2,3,4,7,15,0,1,1,0,1,1,0,0,0,0
31,2,4,3,1,14,1,1,1,1,0,0,1,0,0,0
44,1,6,4,2,1,0,1,1,1,0,1,0,0,1,0
48,2,5,2,2,12,1,0,1,1,1,0,1,0,0,0
36,1,3,3,4,14,0,0,1,0,0,1,0,1,1,0
71,1,2,8,1,15,0,1,1,0,1,0,0,0,0,0
41,2,4,1,9,12,0,0,1,1,0,1,1,0,0,0
30,2,3,6,1,14,0,0,1,0,0,1,1,0,0,0
22,2,5,3,2,12,1,1,1,0,0,0,1,1,1,0
36,1,6,3,4,6,1,1,1,1,0,0,1,1,1,0
29,2,3,2,7,13,1,0,0,1,0,0,1,0,0,0
53,2,4,2,4,11,0,1,1,1,1,1,1,0,0,0
47,1,3,3,7,14,1,1,0,1,1,1,0,0,0,0
39,2,3,8,9,16,0,1,1,0,0,1,0,0,0,0
22,1,3,7,11,19,1,1,0,0,0,0,0,0,0,0
38,2,2,5,11,15,1,1,1,0,0,1,0,0,0,0
61,1,1,8,4,13,1,1,1,0,1,1,0,0,0,0
