SP500,AA,ALD,AXP,BA,CAT,CHV,DD,DIS,EK,ENE,GE,GM,GT,HWP,IBM,IP,JNJ,JPM,KO,MCD,MMM,MO,MRK,PG,S,TRV,UK,UTX,WMT,XON
0.012419,0.044485,0.022971,0.054008,0.036111,-0.027304,-0.012079,0.093042,0.020588,0.139157,0.035865,0.044619,-0.049339,-0.001282,-0.021807,0.1,0.067739,0.076495,0.075203,-0.035928,0.033333,0.049796,-0.09633,0.029536,-0.008791,0.085638,-0.04964,0.026066,0.048235,-0.069307,-0.016382
-0.026812,0.035398,-0.014235,-0.067873,-0.002695,-0.064327,-0.037356,-0.060484,-0.040346,0.026667,0.07377,-0.055578,-0.065116,-0.070968,-0.03758,-0.06746,-0.043321,-0.031073,-0.052098,0.014161,-0.066613,-0.026961,0.059695,-0.01541,-0.053215,-0.051852,-0.019011,-0.013953,-0.032015,0.033723,-0.071575
0.031467,0.070085,0.104693,0.037864,-0.035135,0.08675,0.059701,0.019313,0.01982,0.005195,-0.019084,0.080429,0.022388,-0.010417,0.031561,0.053191,0.1,0.09621,0.016129,0.092308,-0.060606,0.070529,0.067961,-0.004202,0.051054,-0.015625,0.027132,0.066038,-0.062257,0.030928,0.048458
0.037643,0.078594,-0.018497,0.061321,0.02521,0.064591,-0.034648,0.026863,-0.026549,0.036693,-0.044747,-0.012407,-0.018005,-0.01193,0.15781,0.111111,0.064082,0.07266,0.045635,0.03662,0.043687,0.045929,0.109091,0.151899,0.091928,0.011111,0.121509,0.223451,0.064315,-0.0133,0.012101
-0.026898,0.008929,-0.086957,0.08,-0.049451,-0.061755,-0.017699,-0.041322,-0.060606,0.040201,-0.008197,-0.025427,-0.067164,-0.046429,-0.024478,0.016423,0.017828,0.032419,-0.067476,0.061304,-0.066372,0.002268,0.015574,0.052747,-0.020534,0.013193,-0.111486,-0.010909,-0.015717,-0.050761,-0.033613
0.020834,0.010619,0.014652,0.023868,0.014451,0.106697,0.081081,0.028017,0.02129,-0.070048,0.070248,0.015584,-0.157333,0.052434,0.120172,0.070018,-0.050955,0.055556,0.020576,0.03599,0.094787,0.002262,0.002045,0,0.060377,0.03125,0.057034,-0.029412,0.005988,0.005348,0.093478
-0.039505,-0.042522,-0.052924,-0.040486,0.02849,-0.094142,-0.020278,-0.088553,0.101266,-0.046234,-0.159846,-0.058824,-0.029747,-0.029893,-0.001277,-0.04698,-0.034631,-0.017574,-0.052419,0.018759,-0.015238,-0.066546,-0.02449,0.045614,-0.005964,-0.037374,-0.053237,-0.126894,-0.063492,-0.00883,-0.027833
0.012299,0.061256,0.042146,0.003376,0.047354,0.018476,0.022923,0.041763,0.057471,0.049451,0.12963,0.117609,0.104918,-0.00738,0.024808,0.038869,0.054196,0.025761,-0.031915,0.007335,0.030837,0.041463,-0.023849,0.031544,-0.008,-0.026455,-0.01145,0.026201,0.074786,-0.086021,0.006211
0.024278,-0.089755,0.051471,0.067797,-0.053191,-0.063492,0,-0.051225,0.107609,0.026178,-0.045082,0.009804,-0.077151,0.070632,0.006258,-0.018707,-0.056385,0.061644,0.122494,0.019417,0.115385,-0.018735,0.03913,0.055738,0.056048,-0.038043,0.145174,-0.131915,0.021869,0.076471,0.028807
0.036074,-0.007949,0.064895,0.06746,0.042135,0.004866,0.077591,0.062817,0.04914,0.04898,0.139914,0.063107,0.101608,0.029861,0.144279,0.046794,0.079719,-0.018667,0.02381,0.047619,0.020996,0.05432,0.016736,0.052795,0.021113,0.122034,0.054237,0.129902,0.040856,0.038251,0.034
0.027329,0.064103,0.036304,0.037175,0.165312,0.075061,0.007874,0.077951,0.002342,0.044118,0,-0.00621,0.032258,-0.00339,0.049348,0.091362,-0.018003,0.048458,-0.042636,0.029,0.026316,0.061644,0.089877,0.012979,-0.003759,0.083756,-0.006431,0.069869,0.041431,0.081053,0.043053
0.02796,0.081325,0.009554,0.002867,0.023256,0.058559,-0.013021,0.088843,0.036729,0.079812,0.030303,0.037037,0.025568,0.034014,0.09865,0.152207,0.026667,0.092437,0.07582,0.031042,0.025641,0.025806,0.036329,0.005865,0.06,0.016393,0.071197,0.04898,0.057866,-0.073171,0.043152
0.036312,0.041226,0.023849,0.021583,0.075,0.029915,0.046702,0.038254,0.002257,0.056957,0.079412,0.035714,0.07036,0.115132,-0.00189,-0.014531,0.026558,0.022385,0.08,0.060215,0.084071,0.014172,0.075646,0.09621,0.028623,0.048848,0.022961,-0.087549,0.044444,0.047368,0.03777
0.021279,0.077957,0.102167,-0.007042,0.063694,0.06639,-0.05598,0.012891,0,0.004141,-0.037671,-0.020948,-0.023438,-0.023739,0.131818,0.032258,0.09062,0.020794,0,0.038053,0.033003,-0.04375,0.031904,0.051596,0,0.053097,0.038576,0.150215,0.029654,0.077387,-0.010508
0.031776,0.137157,0.050562,0.098582,0.06986,0.100778,0.06469,-0.025455,0.057928,-0.049485,-0.010676,0.046563,0.04,0.054711,0.045302,0.134115,-0.014577,0.062963,0.044563,0.029412,-0.01278,-0.013072,-0.036975,0.050891,-0.036174,0.062541,0.082857,0.037313,0.0752,-0.004673,0.026549
-0.00032,0.00614,-0.046631,0.048701,-0.041045,-0.046181,-0.010127,-0.016493,-0.040512,0.009111,-0.026619,-0.002119,-0.027179,-0.072046,0.027287,-0.04822,-0.025148,-0.033728,-0.005119,-0.020952,-0.053269,-0.02702,0.041885,-0.033898,0.00726,-0.000613,0.017414,0.026978,-0.001488,-0.077934,-0.041379
0.040098,-0.074398,-0.005634,0.099071,0.066406,-0.1527,0.007752,0.051625,0.02,0.025974,-0.003717,0.089766,-0.005305,-0.015625,0.044687,-0.085853,0.025954,0.074275,0.072041,0.077354,0.047945,0.032037,0.132328,0.129624,0.10991,0.138996,0.106771,0.119718,0.05997,0.010204,0.050909
-0.004979,-0.035461,-0.036827,-0.079437,-0.040293,0.003956,-0.041026,-0.092727,0.005926,0.056962,0.026119,-0.007843,-0.066667,-0.034921,0.110945,0.029101,-0.119048,0.099494,-0.003231,0.041667,0.071895,0.008869,0.008982,0.026786,0.057143,-0.077966,-0.045835,-0.04717,0.004243,-0.126263,0.057093
0.041049,0.151471,0.119294,0.046154,0.116412,0.081498,0.066845,0.074469,0.043384,0.096208,0.097091,0.061265,0.115429,0.12171,-0.103914,-0.003856,0.040541,0.066932,0.017828,0.056974,0.090061,0.157714,0.041543,0.076087,0.067901,0.164853,0.182178,0.051155,0.062535,0.112139,0.022913
