drefus,fidel,keystne,Putnminc,scudinc,windsor,eqmrkt,valmrkt,tbill
-0.01513,-0.01028,-0.01309,0.01372,-0.00465,-0.01916,-0.01518,-0.0144,0.0044
0.00768,-0.00708,0.01326,0.00123,0.00476,0.00879,0.00895,0.00115,0.0043
-0.04149,-0.05133,-0.05759,-0.0043,-0.01149,-0.0242,-0.02973,-0.03962,0.0049
0.05422,0.06463,0.08611,0.01008,0.01231,0.04741,0.08006,0.04329,0.005
0.0118,0.01224,0.02813,-0.00686,-0.00414,0.00617,0.00968,0.00696,0.0049
-0.05333,-0.06803,-0.06219,-0.0064,-0.01592,-0.05419,-0.02179,-0.05636,0.0049
-0.01322,-0.03522,0.00265,0.00516,0.00106,0.00541,0.0154,-0.01075,0.0046
0.05455,0.04127,0.07407,0.00256,0.01392,0.05807,0.07083,0.03308,0.0053
0.07532,0.11331,0.10345,0.00064,0.00506,0.08333,0.08002,0.08189,0.0054
0.03735,0.04519,0.06696,-0.00391,-0.00863,0.01433,0.05908,0.02067,0.0051
-0.00327,-0.00262,0.02092,0.00655,0.00517,-0.01224,-0.00088,-0.01191,0.0054
0.08374,0.09807,0.0894,0.00975,0.0147,0.04576,0.05613,0.05766,0.0056
0.03427,0.05183,0.09542,0.01577,0.01448,0.04558,0.0873,0.0387,0.0056
-0.00736,-0.04018,-0.0331,0.00259,0.00073,0.00698,0.00021,-0.0058,0.0062
-0.12611,-0.15916,-0.23604,-0.01484,-0.02324,-0.12035,-0.19203,-0.10452,0.0068
0.03928,0.05777,0.08962,0.00804,0.00892,0.01693,0.05359,0.0325,0.007
0.01479,0.0242,0.02814,-0.00931,-0.00754,0.01221,0.00485,0.01655,0.0078
0.03725,0.03592,0.05053,0.02058,0.01974,0.05154,0.09729,0.04687,0.0077
-0.03966,-0.05223,-0.05812,-0.00618,-0.00596,-0.02607,-0.02469,-0.02696,0.0073
0.06766,0.09079,0.12766,0.01144,0.01374,0.07709,0.09212,0.06368,0.0081
0.00412,0.00911,0.01887,-0.00624,0.00151,0.02187,0.02243,0.00796,0.008
-0.00824,-0.00657,-0.02778,0.01568,0.01278,-0.00993,-0.00711,-0.01426,0.0082
0.06234,0.05205,0.08,0.01828,0.02197,0.05015,0.05396,0.04546,0.0081
0.02347,0.03023,0.01436,-0.00351,0,0.02197,0.02083,0.01323,0.0077
0.05227,0.07355,0.09735,-0.00082,0.00519,0.07757,0.08024,0.06418,0.0077
0.00365,-0.00817,0.01936,-0.02008,-0.01355,-0.00781,-0.00742,0.002,0.0083
-0.07642,-0.08912,-0.0807,-0.07298,-0.05115,-0.09266,-0.10148,-0.07051,0.0087
0.07686,0.06798,0.11188,0.02369,0.01126,0.038,0.07195,0.06207,0.0099
0.03826,0.04783,0.16099,0.00515,-0.00082,0.01674,0.05375,0.02559,0.0095
0.0613,0.0438,0.00667,-0.04043,-0.03522,0.04012,0.09294,0.06453,0.008
-0.01442,-0.0611,-0.01192,-0.07923,-0.05348,-0.03561,-0.025,0.00274,0.0089
-0.1207,-0.10231,-0.16622,0.00946,-0.00737,-0.07897,-0.15717,-0.11596,0.0121
0.07904,0.04149,0.06592,0.11454,0.09007,0.04454,0.05996,0.05088,0.0126
0.06124,0.06415,0.05882,0.06403,0.05281,0.07978,0.07639,0.05854,0.0081
0.03068,0.0201,0.05271,0.02012,0.02571,0.02935,0.04117,0.03659,0.0061
0.06591,0.08034,0.12121,-0.02315,-0.03153,0.06686,0.09848,0.06772,0.0053
0.02204,0.03468,0.05405,-0.04227,0,0.02028,0.05542,0.02035,0.0064
0.02745,0.04285,0.03263,-0.01823,-0.02055,0.01445,0.03159,0.02861,0.0075
0.02099,0.02883,0.06321,-0.01377,-0.02622,-0.00712,0.02371,0.01953,0.0095
0.07071,0.1095,0.18896,0.01138,0.00808,0.031,0.05164,0.10396,0.0096
-0.01929,-0.05283,-0.03214,0.01136,0.02308,0.01067,-0.02787,-0.03444,0.0131
-0.01669,-0.08284,-0.09963,-0.00389,-0.01264,0.01248,0.0032,-0.04175,0.0104
0.01769,0.02258,-0.00307,-0.01938,-0.02559,0.02938,0.01294,0.01674,0.0107
0.07093,0.05654,0.07605,0.03304,0.03965,0.08011,0.08252,0.04494,0.0121
0.00714,-0.0057,-0.0086,-0.04197,-0.04,-0.00171,0.01801,-0.01367,0.0108
0.02267,0.01306,0.05973,0.05046,0.04167,0.028,0.02495,0.01296,0.0115
-0.00633,-0.01572,0.16636,0.00473,-0.00384,0.02298,-0.00307,-0.00919,0.0135
-0.01211,0.00192,-0.33231,-0.02694,-0.02218,-0.00666,-0.0216,-0.00098,0.0124
-0.04731,-0.05866,-0.11521,-0.01517,-0.01874,-0.04774,-0.0698,-0.05416,0.0128
-0.05918,-0.06366,-0.09375,-0.0167,-0.01979,-0.03078,-0.07607,-0.06396,0.0124
0.06363,0.08391,0.13793,0.05425,0.04888,0.04537,0.07151,0.05807,0.0121
0.04986,0.0327,0.00673,0.10759,0.10233,0.05094,0.03359,0.04676,0.0107
-0.02798,-0.02423,-0.0485,-0.03699,-0.03989,-0.01879,-0.02077,-0.02838,0.0087
-0.02108,-0.07509,-0.06854,0.00195,-0.00099,-0.02621,-0.02045,-0.02402,0.008
-0.03875,-0.00404,-0.08679,0.01628,0.01188,-0.03727,-0.04325,-0.0532,0.0092
-0.01976,-0.02225,-0.03512,0.01441,0.00909,0.01936,-0.00481,-0.01044,0.0098
0.05323,0.04631,0.06638,0.03387,0.03003,0.0327,0.0473,0.04253,0.013
-0.03464,-0.04121,-0.04016,0.01577,0.00972,-0.01784,-0.02878,-0.02727,0.0106
-0.02711,-0.02189,-0.00837,-0.01707,-0.02183,-0.02244,-0.02614,-0.02343,0.0096
-0.01393,-0.03946,-0.03609,0.04096,0.03043,-0.02732,-0.01393,-0.02054,0.0105
0.09866,0.1169,0.10573,0.06472,0.06595,0.11685,0.0952,0.124,0.0076
0.01979,0.00569,0.00398,0.05,0.03992,0.02616,0.02331,0.01219,0.0051
0.08881,0.13914,0.22024,0.05598,0.05759,0.11275,0.14122,0.11577,0.0059
0.02135,0.0672,0.11545,0.01744,0.01988,0.022,0.08594,0.04859,0.0063
0.01618,-0.01179,-0.00729,0.01881,0.01744,0.0137,0.01575,0.01591,0.0067
