,TWEIX,BRKA,DGRIX,LBF,FTRNX,JAVLX,OPGSX,PRTBX,PTTRX,PINCX,GSPC,VWNDX
20010731,0.021834,-0.00288,-0.014052,-0.03679,-0.020334,-0.05849,-0.056509,0.001858,0.034792,0.023386,-0.0102,-0.001865
20010831,-0.004274,0.00289,-0.059976,0.02532,-0.060524,-0.088129,0.055615,0.002425,0.012005,0.010729,-0.05933,-0.034869
20010928,-0.04907,0.00865,-0.097789,-0.07407,-0.097873,-0.064431,-0.007092,0.002703,0.016939,0.007608,-0.08159,-0.094194
20011031,0.004545,0.01714,0.025228,0.04636,0.029984,0.024838,-0.017347,0.001561,0.021421,0.016703,0.01302,0.016382
20011130,0.05279,-0.01685,0.079836,0.04323,0.072889,0.070229,0.022845,0.000992,-0.014502,-0.014948,0.07798,0.080589
20011231,0.033283,0.08,0.01706,0.04331,0.019843,-0.001601,0.051415,0.000425,-0.00436,-0.00604,0.00562,0.041149
20020131,-0.008403,-0.02249,-0.021935,0.04668,-0.017129,-0.049402,0.089159,0.000739,0.012586,0.007683,-0.0098,-0.023018
20020228,0.012712,-0.01218,-0.024406,0.04974,-0.022822,-0.01942,0.094884,0.000591,0.014015,0.009231,-0.01794,-0.002618
20020328,0.03159,-0.02603,0.048141,0.06863,0.03397,0.011437,0.084112,0.000443,-0.019613,-0.013754,0.03324,0.036089
20020430,-0.021739,0.03305,-0.062621,0.00502,-0.057906,-0.076393,0.039185,0.00059,0.022315,0.018713,-0.05816,-0.052565
20020531,0.011111,0.01566,-0.013085,0.03438,-0.00959,-0.012242,0.149321,0.000295,0.007866,0.00773,-0.00593,-0.002005
20020628,-0.036648,-0.10456,-0.079763,-0.10121,-0.06382,-0.030834,-0.122703,0.00059,0.002898,0.004587,-0.07375,-0.08374
20020731,-0.054519,0.02246,-0.080425,-0.10047,-0.077574,-0.069869,-0.18549,0.000295,0.005627,0.006126,-0.07882,-0.097059
20020830,0.010622,0.06881,-0.000825,0.10962,0.010449,0.015761,0.171717,0.000147,0.016551,0.015318,0.0068,0.013844
