date,australia,austria,belgium,canada,denmark,finland,france,germany,honkong,ireland,italy,japan,malaysia,netherlands,newzealand,norway,singapore,spain,sweden,switzerland,uk,usa
199302,0.08,0.06,0,0.06,-0.04,0.03,0.09,0.05,0.1,-0.02,0.01,0.04,0.05,0.03,0.08,0,0.02,-0.01,0.04,-0.01,-0.02,0.01
199303,0.04,-0.02,0.09,0.03,0.01,0.09,0.05,0.03,0,0.18,-0.08,0.14,0.03,0.06,0.04,0.11,0,0.06,0.01,0.06,0.07,0.02
199304,0.01,-0.01,-0.03,0.04,0.05,0.25,-0.01,-0.01,0.08,0.03,0.22,0.18,0.17,0,0.06,0.05,0.08,0.01,0.1,0.03,0.03,-0.02
199305,-0.02,0.02,-0.01,0.01,0.02,0.03,-0.03,0,0.09,0.01,0.03,0.03,0.04,0.02,0.02,-0.01,0.03,-0.02,0.11,0.08,0.01,0.03
199306,-0.02,0,0.01,-0.01,0.01,-0.05,-0.01,-0.03,-0.04,0,-0.02,-0.01,-0.04,-0.01,0.02,-0.04,-0.04,0,-0.07,0,-0.01,0
199307,0.1,0.04,-0.02,-0.01,-0.04,0.08,0.01,0.03,-0.02,-0.02,0.02,0.06,0.05,0,0.13,0.04,0.01,-0.06,0.03,0,0,0
199308,0.04,0.11,0.01,0.01,0.05,0.1,0.09,0.11,0.07,0.06,0.12,0.02,0.1,0.1,0.1,0.1,0.13,0.22,0.09,0.07,0.07,0.04
199309,-0.02,-0.02,0.01,-0.05,0.04,0.01,-0.01,0.02,0.02,-0.01,-0.06,-0.05,0.08,0,-0.02,-0.02,0.04,-0.03,0.02,0.03,-0.01,-0.01
199310,0.11,0.07,0.04,0.09,0.04,0.14,0.01,0.06,0.23,0.03,-0.04,0,0.16,0.06,0.13,0.11,0.05,0.06,0.09,0.06,0.04,0.02
199311,-0.06,-0.05,0.02,-0.02,-0.03,-0.05,-0.03,-0.02,-0.01,0.01,-0.1,-0.17,-0.02,-0.03,-0.09,-0.07,-0.01,-0.09,-0.12,0.01,0,-0.01
199312,0.11,0.07,0.06,0.05,0.06,0.06,0.08,0.06,0.27,0.05,0.13,0.03,0.21,0.05,0.12,0.07,0.22,0.08,0.1,0.08,0.07,0.01
199401,0.11,0.02,0.05,0.06,0.09,0.23,0.04,-0.03,-0.04,0.12,0.1,0.16,-0.16,0.05,0.11,0.13,-0.02,0.12,0.17,0.09,0.04,0.04
199402,-0.05,-0.01,0,-0.05,0,-0.02,-0.02,-0.02,-0.1,-0.07,-0.01,0.05,0.04,-0.02,-0.06,0.03,0,-0.05,-0.05,-0.06,-0.05,-0.03
199403,-0.07,-0.04,-0.01,-0.04,-0.01,-0.04,-0.05,0.03,-0.11,-0.04,0.16,-0.04,-0.15,-0.03,-0.1,-0.07,-0.1,-0.04,-0.06,-0.01,-0.07,-0.04
199404,0.04,-0.01,0.06,-0.01,0.02,0.08,0.04,0.06,0,0.05,0.1,0.04,0.1,0.06,0.07,0,0.1,0.02,0.08,-0.01,0.04,0.01
199405,0.05,-0.03,-0.02,0.01,-0.08,-0.06,-0.05,-0.06,0.07,-0.05,-0.08,0.02,-0.03,-0.03,0.06,0.01,0.01,0,-0.01,0,-0.05,0.02
199406,-0.05,0.08,-0.01,-0.06,0.05,-0.01,-0.04,0,-0.08,0,-0.07,0.05,0.02,-0.01,-0.06,-0.05,-0.02,-0.05,-0.05,0.01,0,-0.03
199407,0.05,-0.03,0.05,0.05,0.05,0.12,0.1,0.05,0.08,0.08,0.05,-0.04,0.03,0.06,0.04,0.12,0.03,0.06,0.07,-0.02,0.05,0.03
199408,0.05,0.04,0.01,0.06,-0.07,0.1,0.01,0.04,0.06,0.08,-0.02,0.01,0.11,0.04,0.08,0,0.05,-0.01,0,0.04,0.06,0.04
199409,-0.05,-0.05,-0.05,0.02,0,0.02,-0.07,-0.06,-0.04,-0.03,0,-0.02,0,-0.03,-0.01,-0.06,0.04,-0.03,0,-0.01,-0.05,-0.02
199410,0.03,-0.03,0.04,-0.01,0.02,0.12,0.04,0.06,0.01,0.02,-0.05,0.03,-0.01,0.07,0.06,0.06,0.05,0.03,0.1,0.01,0.06,0.02
199411,-0.04,-0.02,-0.02,-0.06,-0.04,-0.1,-0.01,-0.05,-0.12,-0.05,-0.07,-0.05,-0.08,-0.05,-0.04,-0.02,-0.06,-0.02,-0.03,-0.02,-0.04,-0.03
199412,0.02,0.03,0.01,0.02,0.03,0.03,-0.03,0.04,-0.03,0.04,0.02,0.01,-0.05,0.03,-0.04,0.08,0.01,-0.06,-0.02,0.03,0,0.01
199501,-0.06,-0.04,0,-0.05,0.01,-0.01,-0.02,-0.02,-0.12,0.01,0.07,-0.06,-0.1,0.01,0.03,0.01,-0.08,-0.01,0.01,-0.01,-0.02,0.03
199502,0.03,0.05,0.03,0.06,0.03,0.01,0.02,0.09,0.15,0.04,-0.09,-0.05,0.14,0.03,0.02,-0.04,0.04,0.03,0.02,0.06,0.01,0.04
199503,-0.01,0.01,0.06,0.04,0,-0.03,0.13,-0.02,0.03,0.01,-0.06,0.09,0,0.05,0.04,-0.01,0.02,-0.02,-0.02,0.06,0.08,0.03
199504,0.07,-0.01,0.07,0.02,0.05,0.13,0.01,0.04,-0.03,0.02,0.1,0.05,-0.01,0.03,0.11,0.08,0.01,0.08,0.09,0.02,0.01,0.03
199505,-0.02,0.06,0,0.04,0.04,0.04,0.01,0.01,0.13,0.01,0,-0.06,0.11,0.01,-0.02,-0.02,0.06,0.05,0.02,0.05,0.02,0.04
199506,-0.01,0.01,0,0.02,-0.02,0.15,-0.02,0.03,-0.02,0.05,-0.03,-0.05,-0.02,0.01,-0.02,0.05,-0.05,0.02,0.04,0.03,0,0.02
199507,0.09,0.01,0.03,0.02,0.07,0.11,0.05,0.06,0.02,0.03,0.08,0.08,0.02,0.06,0.05,0.05,0.02,0.07,0.07,0.01,0.06,0.03
199508,0.02,-0.08,-0.06,0,-0.05,-0.02,-0.06,-0.05,-0.03,0,-0.03,-0.04,-0.06,-0.06,-0.04,-0.06,-0.05,-0.03,-0.03,-0.02,-0.02,0
199509,-0.01,0.01,0.04,0,0.02,0.04,-0.02,0.01,0.06,0.03,-0.01,0.01,-0.02,0.05,0.02,0.04,0,0,0.14,0.09,0.03,0.05
199510,-0.02,-0.05,0,-0.01,0,-0.14,0.02,-0.01,0,-0.02,-0.05,-0.06,-0.05,-0.01,0.04,-0.05,0,-0.03,-0.04,0.04,0,0
199511,0.02,-0.04,0.02,0.04,0.01,-0.02,0,0,0,0.01,-0.06,0.06,0,0.03,-0.03,-0.01,0.02,0.08,0.03,0.01,0.01,0.04
199512,0.02,0.03,0.06,0.01,0.03,-0.16,0.04,0.03,0.03,0.02,0.1,0.05,0.06,0.04,0.01,0.03,0.07,0.05,-0.02,0.04,0.03,0.02
199601,0.03,0.06,0.02,0.05,0.03,-0.01,0.04,0.04,0.13,0.02,0.05,-0.01,0.04,0.01,0.01,-0.02,0.05,0.01,-0.02,-0.06,0,0.04
199602,0.03,0,-0.01,-0.01,0.01,-0.02,0.01,0.01,-0.01,0.01,-0.01,-0.02,0.04,0.02,0.02,0.03,0.01,0.07,0.1,0.04,0.01,0.01
199603,0,-0.01,-0.02,0.02,-0.02,0,0.03,0,0,0.04,-0.04,0.04,0.06,0.03,0.01,0.02,-0.02,-0.01,0.02,0.09,-0.01,0.01
199604,0.05,0.01,0.03,0.04,-0.01,0,0.02,-0.04,0,0.03,0.14,0.06,0.05,0.01,0,0.06,0.01,0.04,-0.01,-0.04,0.02,0.02
199605,-0.01,0.05,0.02,0.02,0,0.11,-0.01,0.01,0.03,0.04,-0.01,-0.05,-0.04,0.05,-0.05,0.01,-0.05,-0.01,0.04,-0.03,0.01,0.03
199606,-0.03,-0.06,0.01,-0.03,0.03,-0.04,0.02,0.02,-0.02,0.01,0,0.01,0,0,0.04,0,-0.04,0.04,0.01,0.05,-0.01,0.01
199607,-0.05,-0.02,0.01,-0.03,0.02,0.01,-0.03,0,-0.05,-0.03,-0.07,-0.04,-0.06,-0.02,0.05,-0.05,-0.08,-0.04,-0.04,-0.02,0.01,-0.04
199608,0.07,0.01,0.01,0.05,0.04,0.11,-0.02,0.02,0.03,0.04,-0.01,-0.04,0.05,0.02,0.03,0.03,0.02,0.02,0.07,0.04,0.05,0.02
199609,0,-0.03,0.01,0.04,0,0.01,0.06,0.01,0.07,0.04,0.06,0.03,0.02,0.03,0,0.01,0,0.03,0.04,-0.02,0.02,0.06
199610,0.04,0.01,0.02,0.08,0.03,0.02,0.02,0.01,0.04,0.03,-0.05,-0.07,0.02,0.03,0.07,0.04,-0.03,0.03,0.04,0,0.05,0.03
199611,0.04,0.02,0.03,0.07,0.03,0.08,0.05,0.04,0.08,0.03,0.08,0.02,0.04,0.06,0.01,0.07,0.04,0.08,0.07,0.01,0.06,0.08
199612,0,0.02,0,-0.03,0.05,0.04,0.01,0,-0.01,0.01,0,-0.07,0.01,0.02,0,0.06,0.02,0.1,0.01,-0.02,0.03,-0.02
