"official","gender","age"
181.9,"M",43
195.32,"M",35
210.62,"M",31
191.3,"M",36
182.57,"M",44
162.93,"M",25
182.58,"M",28
175.13,"M",37
186.92,"M",22
183.2,"M",27
194.42,"M",39
188.73,"M",24
208.08,"M",41
188.87,"M",34
173.73,"M",28
198.52,"M",42
187.75,"M",41
179.57,"M",30
200.05,"M",28
182.07,"M",34
186.83,"M",47
177.93,"M",44
179.52,"M",30
188.42,"M",44
198.58,"M",23
198.88,"M",25
177.7,"M",30
205.23,"M",35
165.97,"M",31
178.45,"F",36
179.83,"M",44
177.7,"M",33
191.35,"M",29
193.27,"M",40
211.4,"M",42
187,"M",35
190.48,"M",40
186.3,"M",31
350.88,"M",23
226.65,"M",39
181.38,"F",33
195.3,"M",46
189.6,"M",42
183.65,"M",34
182.3,"M",25
177.13,"M",33
187.57,"M",34
171.88,"M",30
221.38,"M",32
203.73,"M",48
188.95,"M",46
209.65,"F",37
172.65,"M",35
179,"M",35
180.53,"M",43
181.7,"M",29
177.32,"M",31
188.7,"M",32
225.75,"M",28
183.75,"M",41
178.57,"M",43
200.75,"M",21
171.6,"M",31
203.52,"M",34
185.77,"M",32
195.63,"M",40
187.57,"M",32
182.78,"M",34
178.97,"M",38
196.72,"M",41
180.63,"M",39
178.4,"M",52
175.27,"M",25
180,"M",35
186.57,"M",44
182.83,"F",35
195.72,"M",41
178.45,"M",30
208.27,"M",35
200.27,"M",37
194.67,"M",29
198.25,"M",36
213.8,"M",24
217.77,"M",43
203.03,"M",46
176.77,"M",31
183.92,"M",35
230.47,"M",43
186.15,"M",36
199.3,"M",25
175.55,"M",24
187.6,"M",34
179.37,"M",31
180.58,"M",32
190.43,"M",42
190.5,"M",36
190.93,"M",31
203.68,"M",32
209.12,"M",35
206.18,"M",42
176.67,"M",35
175.4,"M",32
187.05,"M",50
221.12,"M",39
205.03,"M",45
176.63,"M",22
192.97,"M",31
191.47,"M",34
204.43,"F",27
210.08,"M",47
184.9,"M",31
177.35,"M",31
196.22,"M",53
178.78,"M",33
195.6,"M",46
188.68,"M",41
208.75,"M",55
191.08,"M",48
210.92,"M",52
177.83,"M",38
179.62,"M",35
179.5,"M",28
189.52,"M",30
189.68,"M",49
207.88,"M",38
185.57,"M",32
192.48,"M",35
238.3,"M",48
202.05,"M",43
188.87,"M",37
174.73,"M",33
171.85,"M",40
179.92,"M",30
214.38,"M",25
181.23,"M",28
190.87,"M",40
190.57,"M",33
192.67,"M",47
181.22,"M",24
195.77,"M",27
202.82,"M",35
172.48,"M",31
187.85,"M",44
194.75,"M",23
177.65,"M",40
179.53,"M",40
177.72,"M",32
198.3,"M",31
194.33,"M",42
192.95,"M",39
178.17,"M",38
175.55,"M",22
183.45,"M",43
182.13,"M",43
186.27,"M",32
201.35,"M",42
197.42,"M",27
179.52,"M",25
177.03,"M",30
202,"M",27
189.43,"M",37
225.27,"M",34
187.92,"M",26
240.68,"M",48
219.45,"M",43
177.03,"M",56
168.65,"M",24
181.95,"M",40
180.37,"M",41
201.67,"M",43
190.53,"M",36
240.57,"M",34
177.27,"M",32
185.25,"M",37
200.83,"M",35
190.93,"M",39
172.25,"M",23
190.03,"M",42
182.87,"F",29
179.63,"M",30
187.85,"M",30
193.53,"M",39
190.63,"M",40
199.93,"M",28
177.37,"M",35
185.47,"M",51
179.62,"M",29
190.97,"M",46
194.45,"F",33
213.03,"M",40
174.33,"M",39
184.78,"M",20
253.28,"M",49
185.77,"M",33
194.35,"M",41
186.17,"M",38
171.32,"M",40
178.37,"M",49
190.77,"M",32
182.27,"M",36
188.78,"M",43
194.13,"M",38
192.48,"M",39
182.97,"M",42
183.88,"M",31
177.67,"M",47
180.53,"M",43
173.65,"M",32
178.47,"M",37
187.78,"M",33
185.75,"M",32
235.77,"M",30
191.78,"M",26
192.7,"M",34
179.48,"M",36
177.23,"M",29
191.2,"M",25
179.73,"M",46
185.87,"M",28
199.03,"M",27
173.75,"M",29
185,"M",24
178.92,"M",26
174.4,"M",33
184.03,"M",30
186.55,"M",33
187.98,"M",37
204.18,"M",35
200.05,"M",48
178.6,"M",30
185.62,"M",30
193.72,"M",25
192.95,"M",41
171.05,"M",40
184,"M",51
187.85,"M",36
192.77,"M",33
210.22,"M",45
168.82,"M",29
198.55,"M",29
229.95,"M",25
194.43,"M",38
179.95,"M",31
181.08,"M",40
203.17,"M",50
223.37,"M",28
186.43,"M",44
195.17,"M",23
214.17,"M",38
181,"M",34
232.62,"M",37
187.18,"M",41
200.72,"M",28
179.12,"M",27
181.4,"M",23
199.93,"M",45
205.38,"M",39
185.68,"M",48
196.92,"M",30
182.7,"M",31
257.12,"M",31
191.5,"M",28
166.55,"M",23
190.37,"M",33
187.57,"M",39
200.23,"M",35
183.05,"M",37
185.07,"M",27
195.28,"M",28
219.03,"M",37
177.88,"M",29
186.32,"M",29
180.8,"M",28
185.95,"M",21
232.7,"M",20
194.08,"M",41
206.45,"M",36
191.42,"M",32
267.65,"M",42
186.93,"M",31
202.48,"M",31
206.28,"M",20
194.6,"M",23
191.27,"M",40
178.7,"M",28
185.68,"M",47
182.42,"M",39
175.85,"M",41
183.25,"M",43
194.98,"M",33
183.77,"M",41
204.68,"M",39
188.33,"M",25
196.87,"M",45
218.82,"M",47
188.6,"M",45
251.85,"M",39
198.73,"M",32
183.62,"M",47
199,"M",25
194.68,"M",22
194.2,"M",38
192.58,"M",37
186.38,"M",34
195.62,"M",40
209.12,"M",42
177.85,"M",47
185.17,"M",42
181.15,"F",39
180.15,"M",42
182.45,"M",35
195.18,"M",27
173.35,"M",27
206.07,"M",25
177.9,"F",28
192.4,"M",27
178.5,"M",36
186.73,"M",34
185.05,"M",27
186.48,"M",37
192.85,"M",32
192.78,"M",27
177.4,"M",30
186.75,"F",52
276.82,"M",34
212.25,"M",42
188.8,"M",30
189.58,"M",19
187.78,"M",36
177.98,"M",28
172.73,"M",22
214.07,"M",41
191.8,"M",48
194.97,"M",40
191.55,"M",58
179.38,"M",34
187.58,"M",45
177.93,"M",23
187.33,"M",40
183.12,"M",25
182,"M",40
206.88,"M",32
187.47,"M",31
182.47,"M",28
204.47,"M",35
202.42,"M",41
201.22,"M",26
180.45,"M",23
190.53,"M",36
199.92,"M",22
176.08,"M",21
267.55,"M",43
188.47,"F",37
219.98,"M",46
176.08,"M",22
183.68,"M",46
176.92,"M",43
182.98,"M",36
175,"M",39
205.38,"M",18
189.97,"M",41
205.53,"M",41
183.07,"M",47
174.68,"M",33
190.75,"M",42
187.55,"M",32
187.45,"M",29
183.78,"M",56
205.92,"M",23
181.03,"M",35
200.22,"M",37
196.93,"M",35
190.57,"M",40
191.93,"M",42
205.88,"M",26
208.13,"M",37
196.42,"M",34
215.48,"M",24
265.48,"M",48
183.28,"M",38
180.57,"M",42
188.8,"M",34
229.72,"M",30
199.03,"M",26
189.17,"M",31
203.43,"M",51
186.68,"M",45
206.77,"M",30
225.92,"M",48
